bird,power_text,mapped_class,mapped_kwargs,power_source,strict_mapped,semantic_tested_word_for_word,smoke_covered,status,notes,row_signature
Asian Koel,"When another player takes the “lay eggs” action, this bird lays 1 [egg] on another bird with a [platform] nest. You may go 3 over its egg limit while using this power.",backend.powers.templates.strict.PinkLayEggOnTrigger,"{""nest_types"": ""{<NestType.PLATFORM: 'platform'>}"", ""on_self"": false, ""require_another_bird"": true, ""target_overage"": 3, ""wingspan_lt"": null}",strict,True,True,True,PASS,,c78a326b933ae2f19261528e
Atlantic Puffin,Draw 2 new bonus cards and keep 1.,backend.powers.templates.draw_cards.DrawBonusCards,"{""discard_from_all_bonus"": false, ""draw"": 2, ""keep"": 1}",strict,True,True,True,PASS,,beaf9636cc45e7ddc38f8b1d
Audouin's Gull,Draw 2 [card] from the deck. Tuck 1 behind this bird and keep the other.,backend.powers.templates.strict.DrawKeepTuckDiscard,"{""draw_count"": 2, ""keep_count"": 1, ""tuck_count"": 1}",strict,True,True,True,PASS,,ab377b1b25578828b0b71b34
Australasian Pipit,"Tuck 1 [card] from the deck behind each bird in your [grassland], including this one.",backend.powers.templates.strict.EndGameTuckPerBirdInHabitat,"{""habitat"": ""Habitat.GRASSLAND""}",strict,True,True,True,PASS,,75d4225ff3fd72f5ede08c9d
Australasian Shoveler,Choose 1 other player. You both draw 1 [card] from the deck.,backend.powers.templates.draw_cards.DrawCards,"{""all_players"": false, ""draw"": 1, ""keep"": 1}",strict,True,True,True,PASS,,7b8afe8304bfb9ba473785d6
Australian Ibis,"Shuffle the discard pile, then draw 2 [card] from it. Choose 1 and tuck it behind this bird or add it to your hand. Discard the other.",backend.powers.templates.draw_cards.DrawCards,"{""all_players"": false, ""draw"": 2, ""keep"": 2}",strict,True,True,True,PASS,,7ae09c487daff6b7e118c6a7
Australian Magpie,"Discard 1 [egg] from each bird in this row and column that has an [egg] on it, excluding this bird. For each discarded [egg], cache 2 [seed] from the supply on this bird.",backend.powers.templates.strict.EndGameDiscardEggsRowColumnCacheSeeds,{},strict,True,True,True,PASS,,c1111e965c81f6fa35296dc8
Australian Owlet-Nightjar,"When another player takes the “gain food” action, gain 1 [invertebrate] from the birdfeeder, if there is one, at the end of their turn.",backend.powers.templates.strict.PinkGainFoodFromFeederOnGainFood,"{""food_types"": [""FoodType.INVERTEBRATE""]}",strict,True,True,True,PASS,,dad129813b0b77c59ea89d3d
Australian Raven,Cache up to 5 [wild] from your supply on this bird.,backend.powers.templates.strict.EndGameCacheFromSupplyOnSelf,"{""max_count"": 5}",strict,True,True,True,PASS,,0eeac731caab66eb74da0f2d
Australian Reed Warbler,Play another bird in your [wetland]. Pay its normal cost with a 1 [egg] discount.,backend.powers.templates.play_bird.PlayAdditionalBird,"{""egg_discount"": 1, ""food_discount"": 0, ""habitat_filter"": ""Habitat.WETLAND"", ""ignore_habitat"": false}",strict,True,True,True,PASS,,30ab0a153a888010bb5306f1
Australian Shelduck,Draw 1 face-up [card] from the tray with a [cavity] or [star] nest. You may reset or refill the tray before doing so.,backend.powers.templates.strict.WillieWagtailDrawTrayNest,"{""allow_refill"": true, ""allow_reset"": true, ""allowed_nests"": ""{<NestType.CAVITY: 'cavity'>, <NestType.WILD: 'wild'>}""}",strict,True,True,True,PASS,,22b056a6ddac8cbcec346776
Australian Zebra Finch,"If the player to your right has a [seed] in their personal supply, tuck a [card] from the deck behind this bird.",backend.powers.templates.strict_more.ConditionalNeighborHasFoodTuckFromDeck,"{""direction"": ""right"", ""food_type"": ""FoodType.SEED"", ""tuck_count"": 1}",strict,True,True,True,PASS,,659d8be27c84a08c679e288d
Azure Tit,"Gain 1 [invertebrate], [seed], or [fruit] from the supply.",backend.powers.templates.gain_food.GainFoodFromSupply,"{""all_players"": false, ""count"": 1, ""food_types"": [""FoodType.INVERTEBRATE"", ""FoodType.SEED"", ""FoodType.FRUIT""], ""you_also"": false}",strict,True,True,True,PASS,,a47c67eacb310cceed9e0611
Baird's Sparrow,Lay 1 [egg] on any bird.,backend.powers.templates.lay_eggs.LayEggs,"{""all_players"": false, ""count"": 1, ""habitat_filter"": null, ""nest_filter"": null, ""target"": ""any""}",strict,True,True,True,PASS,,07fd87479e615c99fc82b913
Bald Eagle,Gain all [fish] that are in the birdfeeder.,backend.powers.templates.gain_food.ResetFeederGainFood,"{""cache"": false, ""food_type"": ""FoodType.FISH""}",strict,True,True,True,PASS,,c641c4234c74dc94713e0ea5
Baltimore Oriole,All players gain 1 [fruit] from the supply.,backend.powers.templates.gain_food.GainFoodFromSupply,"{""all_players"": true, ""count"": 1, ""food_types"": [""FoodType.FRUIT""], ""you_also"": false}",strict,True,True,True,PASS,,d24b05ff180a492da2be54ce
Barn Owl,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",backend.powers.templates.predator.PredatorDice,"{""cache_count"": 1, ""target_food"": ""FoodType.RODENT""}",strict,True,True,True,PASS,,6a6bbeca07708a97360dc663
Barn Swallow,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].",backend.powers.templates.tuck_cards.TuckFromHand,"{""draw_count"": 1, ""food_count"": 0, ""food_type"": null, ""lay_count"": 0, ""tuck_count"": 1}",strict,True,True,True,PASS,,bd210b05949c6fb3f98456a2
Barred Owl,"Look at a [card] from the deck. If less than 75cm, tuck it behind this bird. If not, discard it.",backend.powers.templates.predator.PredatorLookAt,"{""cache_count"": 0, ""cache_food_type"": null, ""food_cost_includes"": ""set()"", ""habitat_filter"": null, ""wingspan_cmp"": ""lt"", ""wingspan_threshold"": 75}",strict,True,True,True,PASS,,43070b887d9296e7f4c8cbf6
Barrow's Goldeneye,"When another player takes the “lay eggs” action, lay 1 [egg] on another bird with a [cavity] nest.",backend.powers.templates.strict.PinkLayEggOnTrigger,"{""nest_types"": ""{<NestType.CAVITY: 'cavity'>}"", ""on_self"": false, ""require_another_bird"": true, ""target_overage"": 0, ""wingspan_lt"": null}",strict,True,True,True,PASS,,ea541806403336fa401cdb6e
Baya Weaver,"Tuck up to 3 [card] from your hand behind this bird. If you tuck at least 1 [card], lay 1 [egg] on this bird.",backend.powers.templates.tuck_cards.TuckFromHand,"{""draw_count"": 0, ""food_count"": 0, ""food_type"": null, ""lay_count"": 1, ""tuck_count"": 3}",strict,True,True,True,PASS,,c92d6896a317ed8af41fc7c4
Bearded Reedling,"For each other bird in this column with an egg on it, lay 1 [egg] on this bird.",backend.powers.templates.strict.LayEggOnSelfPerColumnEggBird,{},strict,True,True,True,PASS,,2140610c096b0a1bf61d2bb0
Bell's Vireo,Draw 2 new bonus cards and keep 1.,backend.powers.templates.draw_cards.DrawBonusCards,"{""discard_from_all_bonus"": false, ""draw"": 2, ""keep"": 1}",strict,True,True,True,PASS,,0e2031c88ea345807c715d3a
Belted Kingfisher,"When another player plays a bird in their [wetland], gain 1 [fish] from the supply.",backend.powers.templates.strict.PinkGainFoodFromSupplyOnPlayInHabitat,"{""food_type"": ""FoodType.FISH"", ""trigger_habitat"": ""Habitat.WETLAND""}",strict,True,True,True,PASS,,39b7b016f15ab254c78d067a
Bewick's Wren,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",backend.powers.templates.special.MoveBird,{},strict,True,True,True,PASS,,18cda5b2b0e500a40e2495e0
Black Drongo,"Discard any number of [card] from the tray then refill it. If at least one of the discarded birds is a [grassland] bird, lay 1 [egg] on this bird.",backend.powers.templates.strict.BlackDrongoDiscardTrayLayEgg,{},strict,True,True,True,PASS,,b6a1b9c6169c82edd00ff944
Black Noddy,"Reset the birdfeeder and gain all [fish], if there are any. You may discard any of these [fish] to tuck that many [card] from the deck behind this bird instead.",backend.powers.templates.strict.BlackNoddyResetFeederGainFishOptionalDiscardToTuck,{},strict,True,True,True,PASS,,c1a961c267d744c20883a9b5
Black Redstart,Choose a habitat with no [egg]. Lay 1 [egg] on each bird in that habitat.,backend.powers.templates.strict.ChooseEgglessHabitatLayEggEachBird,{},strict,True,True,True,PASS,,e58a37dde1f1b366c3f5bb3f
Black Skimmer,"Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.",backend.powers.templates.predator.PredatorDice,"{""cache_count"": 1, ""target_food"": ""FoodType.FISH""}",strict,True,True,True,PASS,,c429e62806cfb5ce5b2fe677
Black Stork,Lay 1 [egg] on each of the birds immediately to the left and right of this bird.,backend.powers.templates.strict.LayEggAdjacentToSelf,{},strict,True,True,True,PASS,,5aeba8013b7da51e46006d09
Black Swan,"Lay 1 [egg] on each of your birds with a wingspan over 100cm, including this one.",backend.powers.templates.strict.EndGameLayEggOnMatchingWingspan,"{""max_cm"": null, ""min_cm"": 100}",strict,True,True,True,PASS,,919b9e656de2d148fadfee0b
Black Tern,"Draw 1 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",backend.powers.templates.strict.DrawThenEndTurnDiscardFromHand,"{""discard"": 1, ""draw"": 1}",strict,True,True,True,PASS,,205883a1465f1f2dd4d93e01
Black Vulture,"When another player's [predator] succeeds, gain 1 [die] from the birdfeeder.",backend.powers.templates.strict.PinkPredatorSuccessGainDie,{},strict,True,True,True,PASS,,5bb30bb6fd33dd557d7bf758
Black Woodpecker,Gain all [invertebrate] that are in the birdfeeder.,backend.powers.templates.gain_food.ResetFeederGainFood,"{""cache"": false, ""food_type"": ""FoodType.INVERTEBRATE""}",strict,True,True,True,PASS,,eaf471e9696ba40d89f6e756
Black-Bellied Whistling-Duck,Discard 1 [seed] to tuck 2 [card] from the deck behind this bird.,backend.powers.templates.strict.DiscardFoodToTuckFromDeck,"{""food_type"": ""FoodType.SEED"", ""max_discard"": 1, ""tuck_per_discard"": 2}",strict,True,True,True,PASS,,a0444050aa432ff9fcf0cd2b
Black-Billed Magpie,"When another player's [predator] succeeds, gain 1 [die] from the birdfeeder.",backend.powers.templates.strict.PinkPredatorSuccessGainDie,{},strict,True,True,True,PASS,,3f129c8fd37f20ea7f54b218
Black-Chinned Hummingbird,All players gain 1 [fruit] from the supply.,backend.powers.templates.gain_food.GainFoodFromSupply,"{""all_players"": true, ""count"": 1, ""food_types"": [""FoodType.FRUIT""], ""you_also"": false}",strict,True,True,True,PASS,,081edb4c1afb497334633b0d
Black-Crowned Night-Heron,Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.,backend.powers.templates.special.DiscardEggForBenefit,"{""card_gain"": 0, ""egg_cost"": 1, ""food_gain"": 1, ""food_type"": ""FoodType.WILD"", ""require_other_bird"": true}",strict,True,True,True,PASS,,ca905d17ff4488e153962b90
Black-Headed Gull,Steal 1 [wild] from another player's supply and add it to your own supply. They gain 1 [die] from the birdfeeder.,backend.powers.templates.strict.BlackHeadedGullStealWild,{},strict,True,True,True,PASS,,19fef787b1dd4e46d63c7c3f
Black-Naped Oriole,"If you used all 4 actions this round, gain 1 [wild] from the supply, lay 1 [egg] on any bird, and draw 1 [card] from the deck.",backend.powers.templates.strict.ConditionalAllActionsFoodEggCard,{},strict,True,True,True,PASS,,aa980614caa4f99164017dd9
Black-Necked Stilt,Draw 2 [card].,backend.powers.templates.draw_cards.DrawCards,"{""all_players"": false, ""draw"": 2, ""keep"": 2}",strict,True,True,True,PASS,,869d5c325226a5a4088ba9cd
Black-Shouldered Kite,"Reset the birdfeeder and gain 1 [rodent], if there is one. You may give it to another player; if you do, lay up to 3 [egg] on this bird.",backend.powers.templates.strict.ResetFeederGainRodentMayGiveLayUpToThree,{},strict,True,True,True,PASS,,a1299243ce62bd5cbf7d69e4
Black-Tailed Godwit,Draw 1 new bonus card. Then draw 3 [card] and keep 1 of them.,backend.powers.templates.draw_cards.DrawBonusCards,"{""discard_from_all_bonus"": false, ""draw"": 1, ""keep"": 1}",strict,True,True,True,PASS,,f107657aa49911e5ad80f2b4
Black-Throated Diver,"Discard all remaining face-up [card] and refill the tray. If you do, draw 1 of the new face-up [card].",backend.powers.templates.strict.WhiteStorkResetTrayThenDraw,{},strict,True,True,True,PASS,,c1b1210b60db20ff8109c0ea
Blue Grosbeak,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",backend.powers.templates.special.MoveBird,{},strict,True,True,True,PASS,,ff8ccdc5f1fac1c9fa356529
Blue Jay,"Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.",backend.powers.templates.cache_food.CacheFoodFromFeeder,"{""food_type"": ""FoodType.SEED""}",strict,True,True,True,PASS,,8f1512dd4505ee8c27ff8afb
Blue Rock-Thrush,"If this bird has no birds to the right of it, you may move it (only the card) to the player mat of the player on your left (you choose its habitat). If you do, draw 3 [card].",backend.powers.templates.draw_cards.DrawCards,"{""all_players"": false, ""draw"": 3, ""keep"": 3}",strict,True,True,True,PASS,,1c03db9550ffd30e42f385bf
Blue-Gray Gnatcatcher,Gain 1 [invertebrate] from the supply.,backend.powers.templates.gain_food.GainFoodFromSupply,"{""all_players"": false, ""count"": 1, ""food_types"": [""FoodType.INVERTEBRATE""], ""you_also"": false}",strict,True,True,True,PASS,,dcc9383e61809065e2e491ce
Blue-Winged Warbler,,backend.powers.base.NoPower,{},strict,True,True,True,PASS,No power text on card,a83e8dd1607e0d0aa757c322
Bluethroat,Choose a food type. All players gain 1 of that food from the supply.,backend.powers.templates.strict.CommonNightingaleChooseFoodAllPlayers,{},strict,True,True,True,PASS,,fbcee9d8a35bb6f5c35036a6
Blyth's Hornbill,Discard all [egg] from 1 of your birds with a [cavity] nest. Tuck twice that many [card] from the deck behind this bird.,backend.powers.templates.strict.DiscardAllEggsFromOneNestThenTuckDouble,"{""include_wild"": true, ""nest_types"": ""{<NestType.CAVITY: 'cavity'>}""}",strict,True,True,True,PASS,,b54d662eefd5e8264f74287a
Bobolink,Lay 1 [egg] on each of your birds with a [ground] nest.,backend.powers.templates.strict.EndGameLayEggOnMatchingNest,"{""nest_types"": ""{<NestType.GROUND: 'ground'>}""}",strict,True,True,True,PASS,,8a0183973ad339766c6f3380
Bonelli's Eagle,"For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.",backend.powers.templates.unique.TuckToPayCost,{},strict,True,True,True,PASS,,8423f2bd858e26eb3c906dea
Brahminy Kite,"Choose any 3 [die]. Roll them up to 3 times. Each time, if you roll at least 1 [fish] or [rodent], cache 1 here. If not, stop and return all food cached here this turn.",backend.powers.templates.strict.PushYourLuckPredatorDiceCache,"{""cache_food"": ""FoodType.FISH"", ""cache_per_hit"": 1, ""dice_count"": 3, ""max_rolls"": 3, ""target_foods"": ""{<FoodType.RODENT: 'rodent'>, <FoodType.FISH: 'fish'>}""}",strict,True,True,True,PASS,,1f9972683329691ec3ba70a4
Brambling,"Draw 2 [card] from the deck and add them to your hand. Then, tuck up to 2 [card] from your hand behind this bird.",backend.powers.templates.strict.DrawThenTuckFromHand,"{""draw_count"": 2, ""max_tuck"": 2}",strict,True,True,True,PASS,,bbe1b42ad0b7c1148ec4decd
Brant,Draw the 3 face-up [card] in the bird tray.,backend.powers.templates.strict.DrawAllFaceUpTrayCards,{},strict,True,True,True,PASS,,0f164a16367d4950ca6e3125
Brewer's Blackbird,"Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.",backend.powers.templates.tuck_cards.TuckFromHand,"{""draw_count"": 0, ""food_count"": 0, ""food_type"": null, ""lay_count"": 1, ""tuck_count"": 1}",strict,True,True,True,PASS,,7b4f2090bf478b8b5c536789
Broad-Winged Hawk,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",backend.powers.templates.predator.PredatorDice,"{""cache_count"": 1, ""target_food"": ""FoodType.RODENT""}",strict,True,True,True,PASS,,10d0e255afb0873706bab50a
Brolga,Choose 1 other player. They lay 1 [egg]; you draw 2 [card].,backend.powers.templates.strict_more.ChooseOtherPlayerLayEggThenDraw,"{""draw_count"": 2}",strict,True,True,True,PASS,,a33cefa5b7b6731c7db6e1a8
Bronzed Cowbird,"When another player takes the “lay eggs” action, lay 1 [egg] on a bird with a [bowl] nest.",backend.powers.templates.strict.PinkLayEggOnTrigger,"{""nest_types"": ""{<NestType.BOWL: 'bowl'>}"", ""on_self"": false, ""require_another_bird"": false, ""target_overage"": 0, ""wingspan_lt"": null}",strict,True,True,True,PASS,,914d5cb357a0f38a9d4141b0
Brown Falcon,"Look at a [card] from the deck. If its food cost includes an [invertebrate] or a [rodent], tuck it behind this bird. If not, discard it.",backend.powers.templates.predator.PredatorLookAt,"{""cache_count"": 0, ""cache_food_type"": null, ""food_cost_includes"": ""{<FoodType.RODENT: 'rodent'>, <FoodType.INVERTEBRATE: 'invertebrate'>}"", ""habitat_filter"": null, ""wingspan_cmp"": ""lt"", ""wingspan_threshold"": 75}",strict,True,True,True,PASS,,0e93d1c7ad2a54c4e0568db7
Brown Pelican,Gain 3 [fish] from the supply.,backend.powers.templates.gain_food.GainFoodFromSupply,"{""all_players"": false, ""count"": 3, ""food_types"": [""FoodType.FISH""], ""you_also"": false}",strict,True,True,True,PASS,,1a82eabb7e4f83ba275573a1
Brown Shrike,All players may cache 1 [invertebrate] from their personal supply on a bird in their [grassland].,backend.powers.templates.strict.AllPlayersMayCacheFoodInHabitat,"{""food_type"": ""FoodType.INVERTEBRATE"", ""habitat"": ""Habitat.GRASSLAND""}",strict,True,True,True,PASS,,9a485618891230d62711dcac
Brown-Headed Cowbird,"When another player takes the “lay eggs” action, lay 1 [egg] on a bird with a [bowl] nest.",backend.powers.templates.strict.PinkLayEggOnTrigger,"{""nest_types"": ""{<NestType.BOWL: 'bowl'>}"", ""on_self"": false, ""require_another_bird"": false, ""target_overage"": 0, ""wingspan_lt"": null}",strict,True,True,True,PASS,,bbff5a65130e6e6f92c31bea
Budgerigar,Tuck the smallest bird in the tray behind this bird.,backend.powers.templates.strict.TuckSmallestTrayBird,{},strict,True,True,True,PASS,,dc242ec2036565b9b4568e0f
Bullfinch,"Reset the birdfeeder. If you do, gain 1 [seed] or 1 [fruit] from the birdfeeder after resetting.",backend.powers.templates.gain_food.ResetFeederGainFood,"{""cache"": false, ""food_type"": ""FoodType.SEED""}",strict,True,True,True,PASS,,694b974059f688d18993e9d0
Burrowing Owl,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",backend.powers.templates.predator.PredatorDice,"{""cache_count"": 1, ""target_food"": ""FoodType.RODENT""}",strict,True,True,True,PASS,,4839e2c26eb370d76f140c94
Bushtit,"Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.",backend.powers.templates.tuck_cards.TuckFromHand,"{""draw_count"": 0, ""food_count"": 0, ""food_type"": null, ""lay_count"": 1, ""tuck_count"": 1}",strict,True,True,True,PASS,,05adf99f2f6def34f9efbd9e
California Condor,Draw 2 new bonus cards and keep 1.,backend.powers.templates.draw_cards.DrawBonusCards,"{""discard_from_all_bonus"": false, ""draw"": 2, ""keep"": 1}",strict,True,True,True,PASS,,a65168eaf2e50215b5fe5cc4
California Quail,Lay 1 [egg] on this bird.,backend.powers.templates.lay_eggs.LayEggs,"{""all_players"": false, ""count"": 1, ""habitat_filter"": null, ""nest_filter"": null, ""target"": ""self""}",strict,True,True,True,PASS,,3a538649de864d08ee0f7ab0
Canada Goose,Discard 1 [seed] to tuck 2 [card] from the deck behind this bird.,backend.powers.templates.strict.DiscardFoodToTuckFromDeck,"{""food_type"": ""FoodType.SEED"", ""max_discard"": 1, ""tuck_per_discard"": 2}",strict,True,True,True,PASS,,217608c39350f2078d778845
Canvasback,All players draw 1 [card] from the deck.,backend.powers.templates.draw_cards.DrawCards,"{""all_players"": true, ""draw"": 1, ""keep"": 1}",strict,True,True,True,PASS,,b17b72c3528a4ba130c47098
Carolina Chickadee,Cache 1 [seed] from the supply on this bird.,backend.powers.templates.cache_food.CacheFoodFromSupply,"{""count"": 1, ""food_type"": ""FoodType.SEED"", ""spendable"": false}",strict,True,True,True,PASS,,de23ab10b8b05ec1644fd5b4
Carolina Wren,Draw 2 [card].,backend.powers.templates.draw_cards.DrawCards,"{""all_players"": false, ""draw"": 2, ""keep"": 2}",strict,True,True,True,PASS,,1b5d6681bdaf83ea11104f53
Carrion Crow,Choose any 1 player (including yourself). Cache 1 [rodent] from the supply on this bird for each [predator] that player has.,backend.powers.templates.strict.CacheRodentPerPredator,{},strict,True,True,True,PASS,,a46da7dab08102e7ae659c42
Cassin's Finch,Draw 2 new bonus cards and keep 1.,backend.powers.templates.draw_cards.DrawBonusCards,"{""discard_from_all_bonus"": false, ""draw"": 2, ""keep"": 1}",strict,True,True,True,PASS,,d6826cf91528f7e14225b9a5
Cassin's Sparrow,Lay 1 [egg] on any bird.,backend.powers.templates.lay_eggs.LayEggs,"{""all_players"": false, ""count"": 1, ""habitat_filter"": null, ""nest_filter"": null, ""target"": ""any""}",strict,True,True,True,PASS,,8853505f06ed9a28ddcce297
Cedar Waxwing,"Tuck 1 [card] from your hand behind this bird. If you do, gain 1 [fruit] from the supply.",backend.powers.templates.tuck_cards.TuckFromHand,"{""draw_count"": 0, ""food_count"": 1, ""food_type"": ""FoodType.FRUIT"", ""lay_count"": 0, ""tuck_count"": 1}",strict,True,True,True,PASS,,76d9d2704ce1b49391431b5c
Cerulean Warbler,Draw 2 new bonus cards and keep 1.,backend.powers.templates.draw_cards.DrawBonusCards,"{""discard_from_all_bonus"": false, ""draw"": 2, ""keep"": 1}",strict,True,True,True,PASS,,1eb764263f0c85b022104885
Cetti's Warbler,"This bird counts double toward the end-of-round goal, if it qualifies for the goal.",backend.powers.templates.unique.CountsDoubleForGoal,{},strict,True,True,True,PASS,,93a8fd96338b7b95dfbe8e1c
Chestnut-Collared Longspur,Draw 2 new bonus cards and keep 1.,backend.powers.templates.draw_cards.DrawBonusCards,"{""discard_from_all_bonus"": false, ""draw"": 2, ""keep"": 1}",strict,True,True,True,PASS,,159b2e7e3e96cc5d71f961c8
Chihuahuan Raven,Discard 1 [egg] from any of your other birds to gain 2 [wild] from the supply.,backend.powers.templates.special.DiscardEggForBenefit,"{""card_gain"": 0, ""egg_cost"": 1, ""food_gain"": 2, ""food_type"": ""FoodType.WILD"", ""require_other_bird"": true}",strict,True,True,True,PASS,,ad1c159862886e4009f00498
Chimney Swift,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",backend.powers.templates.special.MoveBird,{},strict,True,True,True,PASS,,94486efa7d35fc5fab35e64c
Chipping Sparrow,Lay 1 [egg] on any bird.,backend.powers.templates.lay_eggs.LayEggs,"{""all_players"": false, ""count"": 1, ""habitat_filter"": null, ""nest_filter"": null, ""target"": ""any""}",strict,True,True,True,PASS,,47026541f8de42c7a3825dbc
Clark's Grebe,"Draw 1 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",backend.powers.templates.strict.DrawThenEndTurnDiscardFromHand,"{""discard"": 1, ""draw"": 1}",strict,True,True,True,PASS,,35a5e8bc168471491ac307bd
Clark's Nutcracker,"Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.",backend.powers.templates.cache_food.CacheFoodFromFeeder,"{""food_type"": ""FoodType.SEED""}",strict,True,True,True,PASS,,0e65001e64f84342d7661996
